term,frequency,associated_entries,entry_types
Psychogenic,1,Stuttering,Disease/Condition
"Psychological
Some individuals may need follow",1,cosmetic surgery,Surgical Procedure
Psychomotor agitation,1,Depressive disorders,Disease/Disorder
Psychomotor retardation,1,Depressive disorders,Disease/Disorder
Psychotherapy,1,Anger management,Disease/Condition
Psyllium hydrophilic mucilloid,1,Stool culture,Disease/Condition
Pteropus,1,Nipah,Disease/Condition
Pubis,1,Appendectomy,Surgical Procedure
Pulmonary artery,1,arteries,Disease/Condition
Pulmonary fibrosis,1,"Therapy/lasers (accessed December 9, 2014).",Alternative Therapy
Pulmonary function test,1,Pulmonary hypertension,Disease/Condition
Pulmonary nodule,1,Lung biopsy,Diagnostic Test
Pulmonary valve,1,Tricuspid valve insufficiency,Disease/Condition
Pulse oximetry,1,Emphysema,Disease/Condition
Punch biopsy,1,treat the transplant.,Disease/Condition
Purpura,1,Rashes,Disease/Condition
Pus,1,Appendicitis,Disease/Condition
Pustulosis,1,SAPHO syndrome,Disease/Disorder
Pyelonephritis,1,Cystitis,Disease/Condition
Pyloroplasty,1,Vagotomy,Surgical Procedure
Pylorus,1,Ulcer surgery,Surgical Procedure
Pyogenic,1,Abscess,Disease/Condition
Pyrogen,1,Fever,Disease/Condition
Pyromania,1,disorder,Disease/Disorder
Quadrantectomy,1,Lumpectomy,Surgical Procedure
Quadrivalent vaccine,1,HPV vaccination,Disease/Condition
Quantifiable,1,Psychological tests,Diagnostic Test
Quinolones,1,Urinary anti-infectives,Disease/Condition
REM sleep,1,Night terrors,Disease/Condition
Radiculopathy,1,Sciatica,Disease/Disorder
Radio surgery and radiotherapy,1,Robot-assisted surgery,Surgical Procedure
Radioactive isotope,1,Technetium heart scan,Diagnostic Test
Radiograph,1,Skull x rays,Disease/Condition
Radioisotope,1,Thallium heart scan,Diagnostic Test
Radiologist,1,normal flora.,Disease/Condition
Radionuclide bone scan,1,"Lung cancer, small cell",Cancer/Oncological
Radionuclide scanning,1,Splenic trauma,Disease/Condition
Radiosurgery,1,Gamma Knife surgery,Surgical Procedure
Radiotherapy,1,Goiter,Disease/Condition
Rahim Moore nearly lost his lower leg,1,Compartment syndrome,Disease/Disorder
Range of motion,1,Orthodontics,Disease/Condition
Real,1,Telehealth,Disease/Condition
Recessive gene,1,Mucopolysaccharidoses,Disease/Condition
Recessive trait,1,Galactosemia,Disease/Condition
Recombinant protein,1,Provenge (sipuleucel-T),Disease/Condition
Recompression,1,Recompression treatment,Disease/Condition
Rectal prolapse,1,Digital rectal examination,Disease/Condition
Recurrence,1,Genital herpes,Disease/Condition
Red blood cell indices,1,Red blood cell indices,Disease/Condition
Reflex,1,Physical examination,Disease/Condition
Reflux esophagitis,1,Antispasmodic drugs,Drug/Medication
Refraction,1,Learning .),Disease/Condition
Regional anesthesia,1,Epidural therapy,Drug/Medication
Regression,1,Stockholm syndrome,Disease/Disorder
Regurgitate,1,teeth during sleep,Disease/Condition
Regurgitation,1,echocardiography,Disease/Condition
Rehydration,1,Heat disorders,Disease/Disorder
Relaxation response,1,whose methods can all be traced back directly to Usui.,Disease/Condition
Remission,1,Pediatric leukemia,Cancer/Oncological
Renal artery stenosis,1,Kidney nuclear medicine scan,Diagnostic Test
Renal cell carcinoma,1,Nephrectomy,Surgical Procedure
Renal failure,1,the kidney to produce more urine) to decrease swelling.,Disease/Condition
Repetitive strain injury,1,Feldenkrais method,Disease/Condition
Replacing sodas and citrus,1,teeth during sleep,Disease/Condition
Representative sample,1,Psychological tests,Diagnostic Test
Resection,1,Empyema,Disease/Condition
Respiratory,1,resuscitation,Disease/Condition
Respiratory distress syndrome,1,Cyanosis,Disease/Condition
"Results

Ulnar nerve",1,Tommy John surgery,Surgical Procedure
"Results
Many factors can result in false",1,Fecal occult blood test,Diagnostic Test
"Results
Myers",1,Myers-Briggs type indicator,Disease/Condition
"Results
Normal urine is a clear straw",1,Urinalysis,Disease/Condition
Resuscitation,1,resuscitation,Disease/Condition
Retainer,1,Malocclusion,Disease/Condition
Reticulocyte,1,Reticulocyte count,Disease/Condition
Retinal hemorrhage,1,Battered child syndrome,Disease/Disorder
Retinol,1,Vitamin toxicity,Nutrition/Diet
Retrograde,1,Amnesia,Disease/Condition
Retrograde menstruation,1,Endometriosis,Disease/Condition
Retropubic urethropexy,1,Retropubic suspension,Disease/Condition
Retrovirus,1,Tropical spastic paraparesis,Disease/Condition
Rh blood incompatibility,1,Induction of labor,Disease/Condition
Rhabdoid,1,Threadworm infection,Disease/Disorder
Rhabdovirus,1,Rabies,Disease/Condition
Rheumatoid factor,1,Psoriatic arthritis,Disease/Condition
"Rhinoplasty


self",1,Rhinoplasty,Surgical Procedure
Rhinovirus,1,Common cold,Disease/Condition
Rickettsia,1,Scrub typhus,Disease/Condition
Right,1,Pulmonary hypertension,Disease/Condition
Risk is greatest for individuals who are fair,1,Melanoma,Disease/Condition
"Risks

Vaping",1,E-cigarettes,Disease/Condition
"Risks
Enterostomies are not considered high",1,Enterostomy,Surgical Procedure
"Risks
The Marshall",1,procedure,Disease/Condition
Rod,1,Color blindness,Disease/Condition
Rolf,1,Aston-Patterning,Disease/Condition
Rose spots,1,Paratyphoid fever,Disease/Condition
Rouleaux,1,rate,Disease/Condition
Rubella,1,Autism,Disease/Condition
SPECT are iodine,1,computed tomography,Disease/Condition
Sadeghi,1,Condoms,Disease/Condition
Salivary duct,1,Drugs used in labor,Drug/Medication
Salivary gland,1,Drugs used in labor,Drug/Medication
Salpingectomy,1,Scar revision surgery,Surgical Procedure
Salpingitis,1,Ectopic pregnancy,Disease/Condition
Salpingo,1,Salpingo-oophorectomy,Surgical Procedure
Sanitation,1,Hepatitis E,Disease/Condition
Sarcoplasmic reticulum,1,Malaria,Disease/Condition
Scintigram,1,Heart valve repair,Disease/Disorder
Scleroderma,1,enzyme inhibitors,Disease/Condition
Sclerosis,1,Pleural effusion,Disease/Condition
Screening Test for Autism in Two,1,Autism,Disease/Condition
Scurvy,1,Rashes,Disease/Condition
Sealant,1,Tooth decay,Disease/Condition
Sebaceous glands,1,Abscess,Disease/Condition
Sedative,1,Muscle relaxants,Disease/Condition
Seitan,1,Dukan diet,Nutrition/Diet
Semen,1,Safe sex,Disease/Condition
Semicircular canals,1,Nystagmus,Disease/Condition
Sensitivity test,1,cultures,Disease/Condition
Sensorineural deafness,1,Cochlear implants,Disease/Condition
Sensorineural hearing loss,1,Tinnitus,Disease/Condition
Sensory integration dysfunction,1,Mutism,Disease/Condition
Septic shock,1,Bacteremia,Disease/Condition
Septum,1,"Times (October 22, 2001): A1.",Disease/Condition
Serial x rays,1,Chest x ray,Disease/Condition
Serological tests,1,Scrub typhus,Disease/Condition
Serum,1,Serum sickness,Disease/Condition
Serum gastrin test,1,Gastrinoma,Disease/Condition
Seventy,1,Patau syndrome,Disease/Disorder
Sexual abuse,1,Rape and sexual assault,Disease/Condition
Sexual tourism,1,Safe sex,Disease/Condition
Shave biopsy,1,Skin lesion removal,Disease/Condition
Shear,1,Bedsores,Disease/Condition
Sheep blood agar plate,1,Statistics Reports. 2013. http://www.plasticsurgery.org/,Surgical Procedure
Shingles,1,Neuralgia,Disease/Condition
Sialogogue,1,Drugs used in labor,Drug/Medication
Sickle cell anemia,1,Anemias,Disease/Condition
"Side effects

Tonsillitis",1,Cephalosporins,Disease/Condition
Sideroblastic anemia,1,Anemias,Disease/Condition
Siderophilin,1,Iron tests,Diagnostic Test
Silica,1,Silicosis,Disease/Condition
Singlet oxygen,1,Photodynamic therapy,Drug/Medication
Singleton,1,Multiple pregnancy,Disease/Condition
Sinus,1,Abscess,Disease/Condition
Sinuses,1,Deviated septum,Disease/Condition
Skeletal muscle,1,Aldolase test,Diagnostic Test
Skin tag,1,Digital rectal examination,Disease/Condition
Small intestine,1,Gastric bypass,Disease/Condition
"Smelling disorders

Vaccine",1,Smallpox,Disease/Condition
Social media,1,Internet addiction disorder,Disease/Disorder
Solute,1,Diabetes insipidus,Disease/Condition
Somatization,1,Palpitations,Disease/Condition
Some evidence also suggests that a female,1,Osteoarthritis,Disease/Condition
Some infections cause flu,1,Liver disease,Disease/Disorder
Some research suggests that a reduced,1,Low-carbohydrate diets,Nutrition/Diet
Sonogram,1,Endorectal ultrasound,Diagnostic Test
Space maintainer,1,Malocclusion,Disease/Condition
Specific methods for collecting a clean,1,Urinalysis,Disease/Condition
Sperm granuloma,1,Vasectomy,Surgical Procedure
Spermicide,1,Diaphragm (birth control),Disease/Condition
Spillover,1,Emerging diseases,Disease/Disorder
Spina bifida,1,Ostomy,Surgical Procedure
Spinal fusion,1,"York: Springer, 2012.",Disease/Condition
Spirochete,1,Leptospirosis,Disease/Condition
Spirometer,1,Emphysema,Disease/Condition
Spleen,1,Adrenalectomy,Surgical Procedure
Splint,1,Septoplasty,Surgical Procedure
Spondyloarthritis,1,SAPHO syndrome,Disease/Disorder
Sporadic,1,Gastrinoma,Disease/Condition
Spores,1,Aspergillosis,Disease/Condition
Spur,1,2001): 909–932.,Disease/Condition
Spurs,1,Septoplasty,Surgical Procedure
Staging,1,Tumor removal,Cancer/Oncological
Stamina,1,Tai chi,Disease/Condition
Staph infection,1,Cephalosporins,Disease/Condition
"Staphylococcal infections

Methicillin",1,Staphylococcal infections,Disease/Disorder
Staphylococcal scalded skin syndrome,1,Toxic epidermal necrolysis,Disease/Condition
Stem cell,1,Pediatric leukemia,Cancer/Oncological
Stem cells,1,Amyloidosis,Disease/Disorder
Stent,1,Atherectomy,Surgical Procedure
"Stephanie Dionne Sherk
REVISED BY ROSALYN CARSON",1,Liver biopsy,Diagnostic Test
Stereopsis,1,Vision training,Disease/Condition
Stereotactic,1,Gamma Knife surgery,Surgical Procedure
Stereotactic brain needle biopsy,1,Brain biopsy,Diagnostic Test
Sterile,1,Stool culture,Disease/Condition
Steroid,1,Colitis,Disease/Condition
Steroids,1,Pityriasis rosea,Disease/Condition
Stevens,1,Toxic epidermal necrolysis,Disease/Condition
Stimulants,1,Autism,Disease/Condition
Stomatitis,1,Stomatitis,Disease/Condition
Stones,1,Retrograde cystography,Disease/Condition
Strangulation,1,Umbilical hernia repair,Disease/Condition
Street drug,1,dependence,Disease/Condition
Strep throat,1,Cephalosporins,Disease/Condition
Stress,1,Stress,Disease/Condition
Stress hardiness,1,Stress,Disease/Condition
Stress incontinence,1,Retropubic suspension,Disease/Condition
Stress management,1,Stress,Disease/Condition
Stress test,1,Congestive heart failure,Disease/Disorder
Stressor,1,Stress,Disease/Condition
Stricture,1,Lymphogranuloma venereum,Disease/Condition
Stridor,1,Croup,Disease/Condition
String test,1,Threadworm infection,Disease/Disorder
Studies have shown no evidence of long,1,Breast implants,Disease/Disorder
Stunting,1,Hunger and undernutrition,Nutrition/Diet
Subacute,1,• chronic lymphocytic thyroiditis,Disease/Condition
Subclavian,1,Thoracic outlet syndrome,Disease/Disorder
Subcutaneous,1,Flesh-eating disease,Disease/Disorder
Subdural hematoma,1,normal flora.,Disease/Condition
Subluxation,1,Chiropractic,Alternative Therapy
Successful CPR is a life,1,resuscitation,Disease/Condition
Sulfinpyrazone,1,Gout,Disease/Condition
Sulfonamide,1,Serum sickness,Disease/Condition
Superinfection,1,treat the transplant.,Disease/Condition
Suppurate,1,Empyema,Disease/Condition
Supraventricular,1,Paroxysmal atrial tachycardia,Disease/Condition
Surface tension,1,Surfactant,Disease/Condition
"Surgery
Surgery for VUR consists of re",1,Vesicoureteral reflux,Disease/Condition
Surveillance,1,Emerging diseases,Disease/Disorder
Survival guilt,1,Cancer survivorship issues,Cancer/Oncological
Switch to fat,1,Diarrhea,Disease/Condition
Sylvatic,1,Yellow fever,Disease/Condition
Symbiosis,1,Microbiome,Disease/Condition
Sympathetic nerve,1,Acrocyanosis,Disease/Condition
Syndemic,1,Emerging diseases,Disease/Disorder
Synovial fluid,1,Gout,Disease/Condition
Synovial joint,1,Sacroiliac disease,Disease/Disorder
Synovitis,1,Arthroscopic surgery,Surgical Procedure
Synthetic,1,Organic food,Disease/Condition
Syrup,1,Antimyocardial antibody test,Diagnostic Test
Systemic circulation,1,Aortic aneurysm repair,Disease/Condition
Systole,1,Aortic valve replacement,Disease/Condition
Systolic blood pressure,1,DASH diet,Nutrition/Diet
T cell,1,Ménière’s disease,Disease/Disorder
T cells,1,DiGeorge syndrome,Disease/Disorder
TAC,1,eventually cause blood poisoning.,Disease/Condition
Tactile,1,Sensory integration disorder,Disease/Disorder
Taeniasis,1,Tapeworm diseases,Disease/Disorder
Tamponade,1,esophagus and stomach,Disease/Disorder
"Tanning


Broad",1,2003): 353–360.,Disease/Condition
Tapeworm,1,Echinococcosis,Disease/Condition
Technetium,1,Technetium heart scan,Diagnostic Test
Telemedicine,1,Telehealth,Disease/Condition
Telemental health,1,Telehealth,Disease/Condition
Telementoring,1,Telehealth,Disease/Condition
Telemonitoring,1,Telehealth,Disease/Condition
Temporal arteritis,1,Optic neuritis,Disease/Condition
Tendon reflex,1,Neurological exam,Disease/Condition
Thalassemia,1,Iron tests,Diagnostic Test
The T,1,Common cold,Disease/Condition
The anti,1,Antiviral drugs,Drug/Medication
The blood parameters measured in the Chem,1,Chemistry screen,Disease/Condition
The child is then encouraged to watch him,1,Mutism,Disease/Condition
The herb has also been shown to reduce intra,1,Marijuana,Disease/Condition
The home,1,Obstructive sleep apnea,Disease/Condition
The major risk associated with tomosynthesis,1,Tomosynthesis,Disease/Condition
The passage of very low,1,Bioelectric therapy,Drug/Medication
The presence of ulcer,1,Pyloroplasty,Surgical Procedure
The right ventricle pumps oxygen,1,Congestive heart failure,Disease/Disorder
The risks associated with e,1,E-cigarettes,Disease/Condition
The so,1,Alcoholism,Disease/Condition
The two,1,Blood sugar tests,Diagnostic Test
Theophylline levels and blood,1,Leukotriene inhibitors are often called leukotriene:,Disease/Disorder
"Therapeutic baths


KEY TERMS
Eczema",1,Therapeutic baths,Disease/Condition
These drugs may produce drug,1,stimulants,Disease/Condition
They may be very far,1,Albinism,Disease/Condition
They rank among the most powerful anti,1,"August 6, 2013).",Disease/Condition
This is a four,1,Infant massage,Alternative Therapy
This type of slow,1,"New York: Marlowe & Company, 2005.",Disease/Condition
Thoracic aneurysm,1,Aortic aneurysm repair,Disease/Condition
Thoracic vertebrae,1,"York: Springer, 2012.",Disease/Condition
Thorax,1,Chest x ray,Disease/Condition
Three,1,Transplant surgery,Surgical Procedure
Thrombocyte,1,Platelet count,Disease/Condition
Thromboembolism,1,Obesity and surgery,Surgical Procedure
Thrombolytics,1,Embolism,Disease/Condition
Thyroid gland,1,Thyroid function tests,Diagnostic Test
Thyroiditis,1,Thyroid function tests,Diagnostic Test
Thyrotoxicosis,1,Thyroid function tests,Diagnostic Test
Thyroxin,1,Goiter,Disease/Condition
Tibia,1,Osteomyelitis,Disease/Condition
Tilt table,1,Physical therapy,Alternative Therapy
Tinea,1,KOH test,Diagnostic Test
Tinnitus,1,Ménière’s disease,Disease/Disorder
"Tissue typing


KEY TERMS
Conductive hearing loss",1,Tinnitus,Disease/Condition
Titer,1,TORCH test,Diagnostic Test
Titrate,1,intent,Disease/Condition
Tonsillectomy,1,Velopharyngeal insufficiency,Disease/Condition
Topical corticosteroids,1,Corneal ulcers,Disease/Condition
Tourniquet,1,Phlebotomy,Surgical Procedure
"Toxic shock
A close",1,Staphylococcal infections,Disease/Disorder
Toxic shock syndrome,1,Diaphragm (birth control),Disease/Condition
Toxic shock syndrome is a life,1,Staphylococcal infections,Disease/Disorder
Toxic thyroid adenoma,1,Thyroid function tests,Diagnostic Test
Toxoid,1,Diphtheria,Disease/Condition
Tracer,1,computed tomography,Disease/Condition
Tracheostomy,1,Vocal cord paralysis,Disease/Condition
Tracheostomy tube,1,Anaphylaxis,Disease/Condition
Traction,1,Physical therapy,Alternative Therapy
"Training and certification
The IAIM offers four",1,Infant massage,Alternative Therapy
Transabdominal ultrasound,1,Transvaginal ultrasound,Diagnostic Test
Transcranial magnetic stimulation,1,Magnetic field therapy,Alternative Therapy
Transferrin,1,Iron tests,Diagnostic Test
Transillumination,1,Hydrocelectomy,Surgical Procedure
Transudate,1,Pleural effusion,Disease/Condition
Transverse,1,Breech birth,Disease/Condition
Trauma,1,Dissociative disorders,Disease/Disorder
Traumatic brain injury,1,Therapeutic hypothermia,Disease/Condition
Triage,1,Military medicine,Disease/Condition
Triangling,1,Family therapy,Alternative Therapy
Trigger drugs,1,Malaria,Disease/Condition
Triglyceride,1,Atherosclerosis,Disease/Condition
Trinucleotide repeat expansion,1,rapidly the disease progresses.,Disease/Disorder
Trocar,1,Nephrectomy,Surgical Procedure
True weight,1,Dukan diet,Nutrition/Diet
Tryptophan,1,Hartnup disease,Disease/Disorder
Tubal ligation,1,Vasectomy,Surgical Procedure
Tubal pregnancy,1,Ectopic pregnancy,Disease/Condition
Tumor,1,Neurofibromatosis,Disease/Condition
Tunica albuginea,1,Peyronie’s disease,Disease/Disorder
Tunica vaginalis,1,Hydrocelectomy,Surgical Procedure
Turbidimetry,1,Lipase test,Diagnostic Test
Two,1,Blood sugar tests,Diagnostic Test
Ulna,1,Tommy John surgery,Surgical Procedure
Ultrasonogram,1,Polycystic kidney disease,Disease/Disorder
Ultrasonographer,1,High-risk pregnancy,Disease/Condition
Ultrasonography,1,Splenic trauma,Disease/Condition
Ultrasound following the injection of erection,1,Peyronie’s disease,Disease/Disorder
Ultrasound is the least,1,Osteogenesis imperfecta,Disease/Condition
Ultrasound waves,1,Endorectal ultrasound,Diagnostic Test
Ultraviolet light,1,Ultraviolet light treatment,Drug/Medication
Urate crystals,1,Gout,Disease/Condition
Uremic poisoning,1,Polycystic kidney disease,Disease/Disorder
Ureters,1,Cystectomy,Surgical Procedure
Urethra hypermobility,1,Retropubic suspension,Disease/Condition
Uric acid,1,Uric acid tests,Diagnostic Test
Uricosuria,1,Uric acid tests,Diagnostic Test
Urinary anti,1,Urinalysis,Disease/Condition
"Urinary antiseptics see Urinary
anti",1,Urinary anti-infectives,Disease/Condition
Urinary conduit diversion,1,Ileal conduit surgery,Surgical Procedure
Urinary tract,1,Sulfonamides,Disease/Condition
Urine creatinine level,1,Blood urea nitrogen test,Diagnostic Test
Urogenital,1,Latex allergy,Disease/Condition
Urologist,1,Men’s health,Disease/Condition
Urostomy,1,Bladder cancer,Cancer/Oncological
Uterine fibroid,1,I Dilatation and curettage,Disease/Condition
Vagina,1,Placental abruption,Disease/Condition
Vaginismus,1,aafp.org/afp/2005/0115/p285.html.,Disease/Condition
Vagus n e r v e,1,Ulcer surgery,Surgical Procedure
Valsalva Maneuver,1,Aviation medicine,Disease/Condition
Vas deferens,1,Testicular self-examination,Diagnostic Test
Vascular,1,Antiangiogenic therapy,Drug/Medication
Vasculitis,1,Wegener’s granulomatosis,Disease/Disorder
Vasectomy,1,Tubal ligation,Disease/Condition
Vasocongestion,1,aafp.org/afp/2005/0115/p285.html.,Disease/Condition
Vasoconstriction,1,Induction of labor,Disease/Condition
Vasovasostomy,1,Vasectomy,Surgical Procedure
Vegan,1,Dukan diet,Nutrition/Diet
Velez,1,"patients with Wilson disease. (Photo Researchers, Inc.)",Disease/Disorder
Vena cava,1,Adrenalectomy,Surgical Procedure
Venom,1,enzyme inhibitors,Disease/Condition
"Venous access


Preparation

KEY TERMS
Cannula",1,Venous access,Disease/Condition
Ventilator,1,Tracheotomy,Surgical Procedure
Ventricles,1,defibrillator,Disease/Condition
Ventricular fibrillation,1,defibrillator,Disease/Condition
Ventricular tachycardia,1,defibrillator,Disease/Condition
Vesicle,1,Impetigo,Disease/Condition
Vestibular,1,Sensory integration disorder,Disease/Disorder
Vibroacoustic stimulation,1,Antenatal testing,Diagnostic Test
Virtual colonoscopy,1,Sigmoidoscopy,Surgical Procedure
Virulence,1,Emerging diseases,Disease/Disorder
Visual acuity,1,Amblyopia,Disease/Condition
Visual acuity test,1,Optic neuritis,Disease/Condition
Visualization,1,Retrograde urethrography,Disease/Disorder
Vitiligo,1,• chronic lymphocytic thyroiditis,Disease/Condition
Vocational,1,Myers-Briggs type indicator,Disease/Condition
Voice box,1,Vocal cord paralysis,Disease/Condition
Volatile organic compounds,1,Oil spills: health effects,Disease/Condition
Voluntary muscle,1,Amyotrophic lateral sclerosis,Disease/Condition
Voluntary muscles,1,Myopathies,Disease/Condition
Voyeurism,1,Sexual abuse,Disease/Condition
Vulvar vestibulitis,1,aafp.org/afp/2005/0115/p285.html.,Disease/Condition
"WEBSITES

Perez",1,Undescended testes,Diagnostic Test
War syndrome is long,1,Gulf War syndrome,Disease/Disorder
Wart,1,HPV vaccination,Disease/Condition
Wasting,1,Hunger and undernutrition,Nutrition/Diet
Water,1,Spirometry,Disease/Condition
Weight,1,Childhood nutrition,Nutrition/Diet
Wernicke,1,Amnesia,Disease/Condition
Wheeze,1,Byssinosis,Disease/Condition
White blood cell,1,Lymphocyte typing,Disease/Condition
White blood cells,1,Abscess incision and drainage,Disease/Condition
Whole,1,cell envelopes and digests debris and microorganisms to remove them from the blood.,Disease/Condition
Whooping cough,1,Throat culture,Disease/Condition
Why the Paleo Diet Is Half,1,Paleo diet,Nutrition/Diet
Wildcrafting,1,"Herbalism, Western",Disease/Condition
Wireless capsule endoscopy,1,sickness.,Disease/Condition
Wisdom tooth,1,Impacted tooth,Disease/Condition
Women may have short,1,Modified radical mastectomy,Surgical Procedure
X ray,1,Skull x rays,Disease/Condition
X-linked gene,1,Mucopolysaccharidoses,Disease/Condition
X-linked hypophosphatemia,1,Rickets,Disease/Condition
Xanthomas,1,Alagille syndrome,Disease/Disorder
Xerophthalmia,1,Visual impairment,Disease/Disorder
Xerostomia,1,Drugs used in labor,Drug/Medication
Yupze regimen,1,Rape and sexual assault,Disease/Condition
Z o l l i n g e r,1,Ulcer surgery,Surgical Procedure
Zen,1,Pilates,Disease/Condition
Zollinger,1,Gastric acid determination,Disease/Condition
Zone therapy,1,Reflexology,Disease/Condition
Zoonotic diseases,1,West Nile virus,Disease/Condition
Zygomycosis,1,Mucormycosis,Disease/Condition
