term,frequency,associated_entries,entry_types
Thrombosis,4,Deep vein thrombosis; Face transplantation; Hypercoagulation disorders; Pulmonary embolism,Disease/Disorder; Disease/Condition
Topical,4,"Antifungal drugs, topical; Cold sores; Scabies; eventually cause blood poisoning.",Drug/Medication; Disease/Condition
Toxin,4,Fasting; Scombroid; Sore throat; Stool culture,Disease/Condition
Trachea,4,"pauses in breathing, and sudden awakenings; Croup; Heimlich maneuver; Tracheotomy",Disease/Condition; Surgical Procedure
Vector,4,Dengue fever; Leishmaniasis; Mosquito-borne disease; Rabies,Disease/Disorder; Disease/Condition
Ventricle,4,Athletic heart syndrome; Congestive heart failure; Emphysema; arteries,Disease/Disorder; Disease/Condition
Albumin,3,Alport syndrome; Protein electrophoresis; Third-spacing,Disease/Disorder; Disease/Condition
Alpha,3, antibody to EBNA ¼ positive; acids; Vitamin E,Nutrition/Diet; Disease/Condition
Amniocentesis,3,Fragile X syndrome; Genetic testing; High-risk pregnancy,Diagnostic Test; Disease/Disorder; Disease/Condition
Anesthesia,3,Appendectomy; Epidural therapy; Malaria,Drug/Medication; Disease/Condition; Surgical Procedure
Anticoagulant,3,Leeches; Myocardial biopsy; Urinary anti-infectives,Diagnostic Test; Disease/Condition
Arteriosclerosis,3,Aneurysmectomy; Atherosclerosis; Prevention,Disease/Disorder; Disease/Condition; Surgical Procedure
Artery,3,Aneurysmectomy; Embolism; arteries,Disease/Condition; Surgical Procedure
Arthritis,3,Bone x rays; Bursitis; Tai chi,Disease/Condition
Astigmatism,3,Albinism; Statistics Reports. 2013. http://www.plasticsurgery.; Pinguecula and pterygium,Disease/Condition; Surgical Procedure
Ataxia,3,Friedreich’s ataxia; Gulf War syndrome; Lymphocytopenia,Disease/Disorder; Disease/Condition
B cell,3,"Epstein-Barr virus; in China.’’ PLoS One 8, no. 8 (August 2013):e72606.; X-linked agammaglobulinemia",Disease/Disorder; Disease/Condition
Bilirubin,3,Alagille syndrome; Karl Finley; Yellow fever,Disease/Disorder; Disease/Condition
Bladder,3,Retrograde cystography; Retrograde urethrography; Vesicoureteral reflux,Disease/Disorder; Disease/Condition
Bone marrow,3,Aplastic anemia; Immunologic therapies; Leukemia stains,Disease/Disorder; Cancer/Oncological; Disease/Condition
Bronchi,3,"Bronchitis; Chest x ray; Lung cancer, small cell",Cancer/Oncological; Disease/Condition
Cachexia,3,Anti cancer diet; Protein-energy malnutrition; Steroids,Disease/Disorder; Cancer/Oncological; Nutrition/Diet
Cardiac catheterization,3,2013).; Heart valve replacement; Restrictive cardiomyopathy,Disease/Condition
Cartilage,3,Arthroscopic surgery; Osteoarthritis; Tracheotomy,Disease/Condition; Surgical Procedure
Cavity,3,Dental sealant; Tooth decay; Toothache,Disease/Condition
