node_id,node_type,label,definition,body_systems,severity,age_groups,icd_category,is_contagious,inheritance
S01519,Symptom,Abdominal Pain,Clinical manifestation: abdominal pain,,,,R-codes,,
S01520,Symptom,Joint Pain,Clinical manifestation: joint pain,,,,R-codes,,
S01521,Symptom,Back Pain,Clinical manifestation: back pain,,,,R-codes,,
S01522,Symptom,Sore Throat,Clinical manifestation: sore throat,,,,R-codes,,
S01523,Symptom,Runny Nose,Clinical manifestation: runny nose,,,,R-codes,,
S01524,Symptom,Shortness Of Breath,Clinical manifestation: shortness of breath,,,,R-codes,,
S01525,Symptom,Night Sweats,Clinical manifestation: night sweats,,,,R-codes,,
S01526,Symptom,Chills,Clinical manifestation: chills,,,,R-codes,,
S01527,Symptom,Muscle Aches,Clinical manifestation: muscle aches,,,,R-codes,,
S01528,Symptom,Skin Lesions,Clinical manifestation: skin lesions,,,,R-codes,,
S01529,Symptom,Lymphadenopathy,Clinical manifestation: lymphadenopathy,,,,R-codes,,
BS01530,BodySystem,Cardiovascular,Body system: cardiovascular,cardiovascular,,,,,
BS01531,BodySystem,Respiratory,Body system: respiratory,respiratory,,,,,
